dataset,task,mode,arch,num_layers,hidden_dim,seed,val_auc,val_auprc,val_precision,val_recall,val_accuracy,val_macro_f1,test_auc,test_auprc,test_precision,test_recall,test_accuracy,test_macro_f1,train_time_sec,num_params
rel-stack,post-votes,mpnn_u,sage,3,64,0,0.7470830016995248,0.3297819198324276,0.7390648567119156,0.1095751168936775,,,0.728243606819063,0.3250405098812616,0.7518845853912139,0.1035439412922856,,,4845.5,371265
rel-stack,post-votes,mpnn_d,sage,1,64,0,0.6807356809337867,0.0927795150652885,0.0,0.0,,,0.6805020635243437,0.1011673590088852,0.0,0.0,,,310.6,4033
rel-stack,post-votes,mpnn_d,sage,2,64,0,0.6303330336672059,0.1227404777385555,0.4166666666666667,0.0001311819493637,,,0.6292844598990757,0.1339861360843101,0.3333333333333333,0.0001150774471219,,,1984.6,59073
rel-stack,post-votes,mpnn_d,sage,3,64,0,0.7403003192181906,0.2966827221254231,0.7006892895015907,0.0537304330148404,,,0.7208425415756631,0.2942855911226415,0.7202426080363912,0.051011276176839,,,3893.9,114113
rel-stack,post-votes,dir_gnn,sage,1,64,0,0.7188648826234052,0.1366228556350483,0.0,0.0,,,0.7101417049366221,0.1404291552070827,0.0,0.0,,,607.1,33153
rel-stack,post-votes,dir_gnn,sage,2,64,0,0.6366455461487028,0.1310038334034239,0.7307692307692307,0.0004991593106347,,,0.6358180039558115,0.1427939955456865,0.8695652173913043,0.0004606596646397,,,1901.2,153089
rel-stack,post-votes,dir_gnn,sage,3,64,0,0.7444425883246675,0.3359911860377004,0.6950146627565983,0.1494568534114488,,,0.7270577755749785,0.3293961136188039,0.6869179600886918,0.1391184078172151,,,6075.8,273025
rel-stack,post-votes,mpnn_u,gat,1,64,0,0.7313496231497256,0.1732199890392256,0.5409836065573771,0.0222252155172413,,,0.7127384959651897,0.1759773857763909,0.559748427672956,0.0209387130925773,,,603.4,10817
rel-stack,post-votes,mpnn_u,gat,2,64,0,0.6178621778353317,0.1196855686359336,1.0,0.0001054490812748,,,0.614602084186489,0.1289732369871379,0.6666666666666666,4.607127225818341e-05,,,2926.3,195265
rel-stack,post-votes,mpnn_u,gat,3,64,0,0.734343474748864,0.292869998224068,0.5517241379310345,0.0006511343982093,,,0.7181250767635188,0.2861935998985015,0.6326530612244898,0.0005564430722837,,,3284.3,379713
rel-stack,post-votes,mpnn_d,gat,1,64,0,0.7309302467596516,0.1778287324259349,0.5636363636363636,0.0292295258620689,,,0.7106265184086217,0.1797817471711293,0.5681818181818182,0.0264674744147747,,,775.6,5441
rel-stack,post-votes,mpnn_d,gat,2,64,0,0.6128312476839095,0.1172459571936432,0.3896848137535816,0.0071178102266185,,,0.6076488891069758,0.1263242923395061,0.4169014084507042,0.0068130552870229,,,3649.7,61889
rel-stack,post-votes,mpnn_d,gat,3,64,0,0.706443250637398,0.2421735559286933,0.5096525096525096,0.0134444195473712,,,0.6887627949291302,0.2432328304393144,0.5686136523574947,0.0144911940887406,,,3612.0,118337
rel-stack,post-votes,dir_gnn,gat,1,64,0,0.7354672458426981,0.1790996091699131,0.54,0.0036368534482758,,,0.7167555524748337,0.1781002230862307,0.4516129032258064,0.0032937301493941,,,466.4,34561
rel-stack,post-votes,dir_gnn,gat,2,64,0,0.6188996529071416,0.1215775833408136,0.0,0.0,,,0.6142181995959466,0.1311422676883943,0.0,0.0,,,2657.2,155905
rel-stack,post-votes,dir_gnn,gat,3,64,0,0.7398387910024,0.2976714362213235,0.6774193548387096,0.0183906641412598,,,0.7221265397746761,0.2921815491168775,0.7226832641770401,0.0186940966010733,,,4051.7,277249
rel-arxiv,author-category,mpnn_u,sage,1,64,0,,,,,0.0833269255414584,0.0030163771371417,,,,,0.0813516580506871,0.0030706716118503,56.7,5749
rel-arxiv,author-category,mpnn_u,sage,2,64,0,,,,,0.41340510060233243,0.16971127967798985,,,,,0.3811373092926491,0.16637427812661043,254.8,104821
rel-arxiv,author-category,mpnn_u,sage,3,64,0,,,,,0.5106753812636166,0.3260602794987316,,,,,0.4770899003908713,0.3304152077282737,1140.4,203893
rel-arxiv,author-category,mpnn_d,sage,1,64,0,,,,,0.08332692554145842,0.003016377137141707,,,,,0.08135165805068717,0.0030706716118503556,39.2,4597
rel-arxiv,author-category,mpnn_d,sage,2,64,0,,,,,0.08332692554145842,0.003016377137141707,,,,,0.08135165805068717,0.0030706716118503556,58.8,29941
rel-arxiv,author-category,mpnn_d,sage,3,64,0,,,,,0.08332692554145842,0.003016377137141707,,,,,0.08135165805068717,0.0030706716118503556,129.4,55285
rel-arxiv,author-category,dir_gnn,sage,1,64,0,,,,,0.08332692554145842,0.003016377137141707,,,,,0.08135165805068717,0.0030706716118503556,57.9,29557
rel-arxiv,author-category,dir_gnn,sage,2,64,0,,,,,0.4632577213892093,0.2607975958500457,,,,,0.435506241331484,0.2617254295392799,403.2,104053
rel-arxiv,author-category,dir_gnn,sage,3,64,0,,,,,0.49170831731385367,0.27993096473831763,,,,,0.45744546715420503,0.2801567335830209,476.7,178549
rel-arxiv,author-category,mpnn_u,gat,1,64,0,,,,,0.08332692554145842,0.003016377137141707,,,,,0.08135165805068717,0.0030706716118503556,58.0,7285
rel-arxiv,author-category,mpnn_u,gat,2,64,0,,,,,0.455440215301807,0.1972198414759108,,,,,0.42801664355062413,0.19887383748657242,380.8,107893
rel-arxiv,author-category,mpnn_u,gat,3,64,0,,,,,0.08332692554145842,0.003016377137141707,,,,,0.08135165805068717,0.0030706716118503556,249.4,208501
rel-arxiv,author-category,mpnn_d,gat,1,64,0,,,,,0.08332692554145842,0.003016377137141707,,,,,0.08135165805068717,0.0030706716118503556,45.9,5365
rel-arxiv,author-category,mpnn_d,gat,2,64,0,,,,,0.08332692554145842,0.003016377137141707,,,,,0.08135165805068717,0.0030706716118503556,76.7,31477
rel-arxiv,author-category,mpnn_d,gat,3,64,0,,,,,0.08332692554145842,0.003016377137141707,,,,,0.08135165805068717,0.0030706716118503556,171.9,57589
rel-arxiv,author-category,dir_gnn,gat,1,64,0,,,,,0.08332692554145842,0.003016377137141707,,,,,0.08135165805068717,0.0030706716118503556,61.8,30325
rel-arxiv,author-category,dir_gnn,gat,2,64,0,,,,,0.48076380879149044,0.2489066323243913,,,,,0.450182826881856,0.24592253168751071,390.7,105589
rel-arxiv,author-category,dir_gnn,gat,3,64,0,,,,,0.08512110726643599,0.005928054149142406,,,,,0.08236035808851343,0.0058214141933788,417.1,180853
